Epoch: 82/200  Train Loss: 0.0612  Train Acc: 97.89%  Val Loss: 0.3826  Val Acc: 90.71%  Best: 91.41%  Time: 11.7s
Epoch: 83/200  Train Loss: 0.0672  Train Acc: 97.65%  Val Loss: 0.3435  Val Acc: 91.01%  Best: 91.41%  Time: 11.7s
Epoch: 84/200  Train Loss: 0.0634  Train Acc: 97.77%  Val Loss: 0.3336  Val Acc: 91.56%  Best: 91.56%  Time: 11.7s
Epoch: 85/200  Train Loss: 0.0572  Train Acc: 97.98%  Val Loss: 0.3551  Val Acc: 90.62%  Best: 91.56%  Time: 11.7s
Epoch: 86/200  Train Loss: 0.0595  Train Acc: 97.94%  Val Loss: 0.3535  Val Acc: 91.02%  Best: 91.56%  Time: 11.6s
Epoch: 87/200  Train Loss: 0.0629  Train Acc: 97.80%  Val Loss: 0.3390  Val Acc: 91.27%  Best: 91.56%  Time: 11.4s
Epoch: 88/200  Train Loss: 0.0585  Train Acc: 97.92%  Val Loss: 0.3520  Val Acc: 91.93%  Best: 91.93%  Time: 11.6s
Epoch: 89/200  Train Loss: 0.0515  Train Acc: 98.24%  Val Loss: 0.3666  Val Acc: 90.97%  Best: 91.93%  Time: 11.7s
Epoch: 90/200  Train Loss: 0.0569  Train Acc: 98.00%  Val Loss: 0.3337  Val Acc: 91.77%  Best: 91.93%  Time: 11.6s
Epoch: 91/200  Train Loss: 0.0544  Train Acc: 98.04%  Val Loss: 0.3614  Val Acc: 91.38%  Best: 91.93%  Time: 11.8s
Epoch: 92/200  Train Loss: 0.0552  Train Acc: 97.99%  Val Loss: 0.3423  Val Acc: 91.79%  Best: 91.93%  Time: 11.7s
Epoch: 93/200  Train Loss: 0.0512  Train Acc: 98.23%  Val Loss: 0.3725  Val Acc: 90.68%  Best: 91.93%  Time: 11.8s
Epoch: 94/200  Train Loss: 0.0503  Train Acc: 98.23%  Val Loss: 0.3338  Val Acc: 91.97%  Best: 91.97%  Time: 11.8s
Epoch: 95/200  Train Loss: 0.0481  Train Acc: 98.29%  Val Loss: 0.3359  Val Acc: 91.87%  Best: 91.97%  Time: 11.8s
Epoch: 96/200  Train Loss: 0.0427  Train Acc: 98.52%  Val Loss: 0.3372  Val Acc: 91.73%  Best: 91.97%  Time: 11.7s
Epoch: 97/200  Train Loss: 0.0470  Train Acc: 98.36%  Val Loss: 0.3444  Val Acc: 91.73%  Best: 91.97%  Time: 12.0s
Epoch: 98/200  Train Loss: 0.0412  Train Acc: 98.54%  Val Loss: 0.3586  Val Acc: 91.63%  Best: 91.97%  Time: 11.9s
Epoch: 99/200  Train Loss: 0.0459  Train Acc: 98.42%  Val Loss: 0.3527  Val Acc: 91.92%  Best: 91.97%  Time: 11.9s
Epoch: 100/200  Train Loss: 0.0439  Train Acc: 98.50%  Val Loss: 0.3384  Val Acc: 91.91%  Best: 91.97%  Time: 11.7s
Epoch: 101/200  Train Loss: 0.0420  Train Acc: 98.50%  Val Loss: 0.3374  Val Acc: 92.04%  Best: 92.04%  Time: 11.8s
Epoch: 102/200  Train Loss: 0.0354  Train Acc: 98.74%  Val Loss: 0.3534  Val Acc: 91.83%  Best: 92.04%  Time: 11.6s
Epoch: 103/200  Train Loss: 0.0365  Train Acc: 98.70%  Val Loss: 0.3445  Val Acc: 91.94%  Best: 92.04%  Time: 11.6s
Epoch: 104/200  Train Loss: 0.0367  Train Acc: 98.70%  Val Loss: 0.3692  Val Acc: 91.61%  Best: 92.04%  Time: 12.0s
Epoch: 105/200  Train Loss: 0.0363  Train Acc: 98.72%  Val Loss: 0.3713  Val Acc: 91.81%  Best: 92.04%  Time: 11.8s
Epoch: 106/200  Train Loss: 0.0322  Train Acc: 98.86%  Val Loss: 0.3617  Val Acc: 91.93%  Best: 92.04%  Time: 11.8s
Epoch: 107/200  Train Loss: 0.0313  Train Acc: 98.89%  Val Loss: 0.3666  Val Acc: 92.21%  Best: 92.21%  Time: 11.7s
Epoch: 108/200  Train Loss: 0.0390  Train Acc: 98.64%  Val Loss: 0.3563  Val Acc: 91.78%  Best: 92.21%  Time: 11.6s
Epoch: 109/200  Train Loss: 0.0314  Train Acc: 98.94%  Val Loss: 0.3403  Val Acc: 92.25%  Best: 92.25%  Time: 11.6s
Epoch: 110/200  Train Loss: 0.0302  Train Acc: 98.97%  Val Loss: 0.3446  Val Acc: 92.11%  Best: 92.25%  Time: 11.9s
Epoch: 111/200  Train Loss: 0.0281  Train Acc: 99.04%  Val Loss: 0.3465  Val Acc: 92.54%  Best: 92.54%  Time: 11.8s
Epoch: 112/200  Train Loss: 0.0245  Train Acc: 99.19%  Val Loss: 0.3653  Val Acc: 92.10%  Best: 92.54%  Time: 11.8s
Epoch: 113/200  Train Loss: 0.0267  Train Acc: 99.06%  Val Loss: 0.3725  Val Acc: 91.97%  Best: 92.54%  Time: 11.6s
Epoch: 114/200  Train Loss: 0.0255  Train Acc: 99.12%  Val Loss: 0.3487  Val Acc: 92.43%  Best: 92.54%  Time: 11.6s
Epoch: 115/200  Train Loss: 0.0240  Train Acc: 99.13%  Val Loss: 0.3681  Val Acc: 92.17%  Best: 92.54%  Time: 12.0s
Epoch: 116/200  Train Loss: 0.0219  Train Acc: 99.27%  Val Loss: 0.3584  Val Acc: 92.40%  Best: 92.54%  Time: 11.7s
Epoch: 117/200  Train Loss: 0.0241  Train Acc: 99.16%  Val Loss: 0.3613  Val Acc: 92.32%  Best: 92.54%  Time: 11.8s
Epoch: 118/200  Train Loss: 0.0202  Train Acc: 99.30%  Val Loss: 0.3555  Val Acc: 92.12%  Best: 92.54%  Time: 11.6s
Epoch: 119/200  Train Loss: 0.0200  Train Acc: 99.28%  Val Loss: 0.3560  Val Acc: 92.70%  Best: 92.70%  Time: 11.7s
Epoch: 120/200  Train Loss: 0.0161  Train Acc: 99.48%  Val Loss: 0.3608  Val Acc: 92.70%  Best: 92.70%  Time: 11.9s
Epoch: 121/200  Train Loss: 0.0187  Train Acc: 99.36%  Val Loss: 0.3470  Val Acc: 92.90%  Best: 92.90%  Time: 11.9s
Epoch: 122/200  Train Loss: 0.0182  Train Acc: 99.39%  Val Loss: 0.3592  Val Acc: 92.44%  Best: 92.90%  Time: 11.7s
Epoch: 123/200  Train Loss: 0.0167  Train Acc: 99.40%  Val Loss: 0.3550  Val Acc: 92.48%  Best: 92.90%  Time: 11.8s
Epoch: 124/200  Train Loss: 0.0176  Train Acc: 99.43%  Val Loss: 0.3491  Val Acc: 92.63%  Best: 92.90%  Time: 11.9s
Epoch: 125/200  Train Loss: 0.0134  Train Acc: 99.52%  Val Loss: 0.3594  Val Acc: 92.72%  Best: 92.90%  Time: 11.8s
Epoch: 126/200  Train Loss: 0.0129  Train Acc: 99.53%  Val Loss: 0.3661  Val Acc: 92.81%  Best: 92.90%  Time: 12.1s
Epoch: 127/200  Train Loss: 0.0120  Train Acc: 99.60%  Val Loss: 0.3545  Val Acc: 93.10%  Best: 93.10%  Time: 11.6s
Epoch: 128/200  Train Loss: 0.0112  Train Acc: 99.62%  Val Loss: 0.3616  Val Acc: 92.87%  Best: 93.10%  Time: 12.0s
Epoch: 129/200  Train Loss: 0.0112  Train Acc: 99.63%  Val Loss: 0.3571  Val Acc: 92.82%  Best: 93.10%  Time: 11.7s
Epoch: 130/200  Train Loss: 0.0099  Train Acc: 99.66%  Val Loss: 0.3593  Val Acc: 93.01%  Best: 93.10%  Time: 11.8s
Epoch: 131/200  Train Loss: 0.0103  Train Acc: 99.67%  Val Loss: 0.3540  Val Acc: 92.89%  Best: 93.10%  Time: 11.9s
Epoch: 132/200  Train Loss: 0.0082  Train Acc: 99.75%  Val Loss: 0.3582  Val Acc: 93.07%  Best: 93.10%  Time: 11.6s
Epoch: 133/200  Train Loss: 0.0062  Train Acc: 99.82%  Val Loss: 0.3493  Val Acc: 93.20%  Best: 93.20%  Time: 11.8s
Epoch: 134/200  Train Loss: 0.0071  Train Acc: 99.77%  Val Loss: 0.3560  Val Acc: 93.05%  Best: 93.20%  Time: 11.7s
Epoch: 135/200  Train Loss: 0.0083  Train Acc: 99.71%  Val Loss: 0.3447  Val Acc: 93.25%  Best: 93.25%  Time: 11.6s
Epoch: 136/200  Train Loss: 0.0067  Train Acc: 99.78%  Val Loss: 0.3607  Val Acc: 93.22%  Best: 93.25%  Time: 12.0s
