Epoch: 107/300  Train Loss: 0.4068  Train Acc: 85.72%  Val Loss: 0.2335  Val Acc: 92.28%  Best: 92.67%  Time: 12.4s
Epoch: 108/300  Train Loss: 0.4092  Train Acc: 85.53%  Val Loss: 0.2407  Val Acc: 92.18%  Best: 92.67%  Time: 12.6s
Epoch: 109/300  Train Loss: 0.4080  Train Acc: 85.64%  Val Loss: 0.2328  Val Acc: 92.26%  Best: 92.67%  Time: 12.9s
Epoch: 110/300  Train Loss: 0.4099  Train Acc: 85.55%  Val Loss: 0.2291  Val Acc: 92.32%  Best: 92.67%  Time: 12.9s
Epoch: 111/300  Train Loss: 0.3996  Train Acc: 85.99%  Val Loss: 0.2105  Val Acc: 92.81%  Best: 92.81%  Time: 12.7s
Epoch: 112/300  Train Loss: 0.4035  Train Acc: 85.83%  Val Loss: 0.2361  Val Acc: 92.18%  Best: 92.81%  Time: 12.7s
Epoch: 113/300  Train Loss: 0.4058  Train Acc: 85.68%  Val Loss: 0.2367  Val Acc: 92.06%  Best: 92.81%  Time: 12.7s
Epoch: 114/300  Train Loss: 0.3971  Train Acc: 85.98%  Val Loss: 0.2310  Val Acc: 92.10%  Best: 92.81%  Time: 12.6s
Epoch: 115/300  Train Loss: 0.3950  Train Acc: 86.18%  Val Loss: 0.2165  Val Acc: 93.06%  Best: 93.06%  Time: 12.9s
Epoch: 116/300  Train Loss: 0.3947  Train Acc: 86.14%  Val Loss: 0.2098  Val Acc: 93.11%  Best: 93.11%  Time: 12.6s
Epoch: 117/300  Train Loss: 0.3950  Train Acc: 86.18%  Val Loss: 0.2665  Val Acc: 91.19%  Best: 93.11%  Time: 12.5s
Epoch: 118/300  Train Loss: 0.3939  Train Acc: 85.94%  Val Loss: 0.2327  Val Acc: 92.37%  Best: 93.11%  Time: 12.4s
Epoch: 119/300  Train Loss: 0.3853  Train Acc: 86.53%  Val Loss: 0.2150  Val Acc: 92.72%  Best: 93.11%  Time: 12.3s
Epoch: 120/300  Train Loss: 0.3938  Train Acc: 86.26%  Val Loss: 0.2280  Val Acc: 92.34%  Best: 93.11%  Time: 12.6s
Epoch: 121/300  Train Loss: 0.3924  Train Acc: 86.17%  Val Loss: 0.2271  Val Acc: 92.46%  Best: 93.11%  Time: 12.3s
Epoch: 122/300  Train Loss: 0.3840  Train Acc: 86.51%  Val Loss: 0.2181  Val Acc: 92.90%  Best: 93.11%  Time: 12.8s
Epoch: 123/300  Train Loss: 0.3888  Train Acc: 86.36%  Val Loss: 0.2173  Val Acc: 92.97%  Best: 93.11%  Time: 12.7s
Epoch: 124/300  Train Loss: 0.3884  Train Acc: 86.38%  Val Loss: 0.2027  Val Acc: 93.17%  Best: 93.17%  Time: 12.6s
Epoch: 125/300  Train Loss: 0.3834  Train Acc: 86.41%  Val Loss: 0.2117  Val Acc: 92.71%  Best: 93.17%  Time: 12.7s
Epoch: 126/300  Train Loss: 0.3811  Train Acc: 86.52%  Val Loss: 0.2069  Val Acc: 92.90%  Best: 93.17%  Time: 12.9s
Epoch: 127/300  Train Loss: 0.3865  Train Acc: 86.45%  Val Loss: 0.2107  Val Acc: 93.10%  Best: 93.17%  Time: 12.6s
Epoch: 128/300  Train Loss: 0.3738  Train Acc: 86.86%  Val Loss: 0.1954  Val Acc: 93.50%  Best: 93.50%  Time: 12.6s
Epoch: 129/300  Train Loss: 0.3714  Train Acc: 86.88%  Val Loss: 0.2042  Val Acc: 93.63%  Best: 93.63%  Time: 12.6s
